OpenAI Tweet Text,Revised Text,Issue,Salience,Stance,Ideological Lean
Abortion is a violation of the right to life of the most vulnerable and innocent among us.,Abortion is a violation of the right to life of the most vulnerable and innocent among us.,Abortion,High,Anti,Conservative
"Abortion is not healthcare, it is the taking of a human life.","Abortion is not healthcare, it is the taking of a human life.",Abortion,High,Anti,Conservative
"Abortion does not empower women, it exploits them and denies them the opportunity to be mothers.","Abortion does not empower women, it exploits them and denies them the opportunity to be mothers.",Abortion,High,Anti,Conservative
"Abortion is not a solution to unplanned pregnancies, adoption is a loving option that allows the child to live.","Abortion is not a solution to unplanned pregnancies, adoption is a loving option that allows the child to live.",Abortion,High,Anti,Conservative
"Abortion not only ends the life of the unborn child, but it also has negative physical and emotional effects on the mother.","Abortion not only ends the life of the unborn child, but it also has negative physical and emotional effects on the mother.",Abortion,High,Anti,Conservative
Abortion is a necessary healthcare option that allows women to have control over their own bodies and lives.,Abortion is a necessary healthcare option that allows women to have control over their own bodies and lives.,Abortion,High,Pro,Liberal
"Abortion is a fundamental right guaranteed by the Constitution, and must be protected for all women.","Abortion is a fundamental right guaranteed by the Constitution, and must be protected for all women.",Abortion,High,Pro,Liberal
Denying women access to abortion only puts their health and lives at risk.,Denying women access to abortion only puts their health and lives at risk.,Abortion,High,Pro,Liberal
"Abortion is a deeply personal decision that should be made by a woman in consultation with her doctor, without interference from politicians.","Abortion is a deeply personal decision that should be made by a woman in consultation with her doctor, without interference from politicians.",Abortion,High,Pro,Liberal
"Supporting abortion access means supporting women's equality and autonomy, and their right to make decisions about their own lives.","Supporting abortion access means supporting women's equality and autonomy, and their right to make decisions about their own lives.",Abortion,High,Pro,Liberal
Gun control is a violation of the Second Amendment and the right to bear arms.,Gun control laws violate the 2nd amendment right to bear arms.,Gun Control,High,Anti,Conservative
"Criminals will always find ways to obtain guns, regardless of the laws in place.","Criminals will always find ways to obtain guns, regardless of the laws in place.",Gun Control,High,Anti,Conservative
"Gun control does not prevent gun violence, it only prevents law-abiding citizens from defending themselves.",Guns do not commit crimes. Humans do. Gun control does not prevent violence.,Gun Control,High,Anti,Conservative
"Gun control is not the solution, addressing the root causes of violence and mental illness is the key to reducing gun violence.","Gun control is not the solution, addressing the root causes of violence and mental illness is the key to reducing gun violence.",Gun Control,High,Anti,Conservative
Gun control only serves to disarm law-abiding citizens and make them more vulnerable to criminals and tyrants.,Gun control only serves to prevent law-abiding citizens from defending themselves and make them more vulnerable to criminals and tyrants.,Gun Control,High,Anti,Conservative
Gun violence is a public health crisis that must be addressed with common sense gun control measures.,Gun violence is a public health crisis that must be addressed with common sense gun control measures.,Gun Control,High,Pro,Liberal
"Background checks, red flag laws, and limits on high-capacity magazines can save lives and prevent mass shootings.","Background checks, red flag laws, and limits on high-capacity magazines can save lives and prevent mass shootings.",Gun Control,High,Pro,Liberal
"Gun ownership is not a fundamental right protected by the Constitution, and reasonable regulations are necessary to keep communities safe.",Gun ownership should not be unlimited. Reasonable regulations are necessary to keep communities safe.,Gun Control,High,Pro,Liberal
The Second Amendment does not give individuals the right to own military-style weapons or to use them to commit acts of violence.,The 2nd amendment does not give individuals the right to own military-style weapons or to use them to commit acts of violence.,Gun Control,High,Pro,Liberal
"Gun control is not about taking away guns from law-abiding citizens, it's about saving lives and making our communities safer.","Gun control is not about taking away guns from law-abiding citizens, it's about saving lives and making our communities safer.",Gun Control,High,Pro,Liberal
